location,model,horizon,target_date,metric,value
US,historical_drift,2,2024-02-10,wis,2859.3729156521736
US,historical_drift,2,2024-02-17,dev,2986360.715881001
US,historical_drift,2,2024-02-17,wis,1238.2111308695653
US,historical_drift,2,2024-02-24,dev,209750.26022500053
US,historical_drift,2,2024-02-24,wis,838.1421947826086
US,historical_drift,2,2024-03-02,dev,5618540.159715998
US,historical_drift,2,2024-03-02,wis,1460.9582239130434
US,historical_drift,2,2024-03-09,dev,10721086.330248998
US,historical_drift,2,2024-03-09,wis,1843.417262608696
US,historical_drift,2,2024-03-16,dev,170523.57302499976
US,historical_drift,2,2024-03-16,wis,878.0442582608695
US,historical_drift,2,2024-03-23,dev,5407885.136196003
US,historical_drift,2,2024-03-23,wis,1280.9192430434784
US,historical_drift,2,2024-03-30,dev,6567226.275599999
US,historical_drift,2,2024-03-30,wis,1477.793104347826
US,historical_drift,2,2024-04-06,dev,600559.9017639994
US,historical_drift,2,2024-04-06,wis,890.4019582608696
US,historical_drift,2,2024-04-13,dev,1372595.010084
US,historical_drift,2,2024-04-13,wis,905.6839504347826
US,historical_drift,2,2024-04-20,dev,1179046.333921
US,historical_drift,2,2024-04-20,wis,780.5082060869564
US,historical_drift,3,2023-10-28,dev,534928.4065439999
US,historical_drift,3,2023-10-28,wis,417.1106139130435
US,historical_drift,3,2023-11-04,dev,234182.437776
US,historical_drift,3,2023-11-04,wis,286.62600260869567
US,historical_drift,3,2023-11-11,dev,39487.253795999975
US,historical_drift,3,2023-11-11,wis,190.76898391304343
US,historical_drift,3,2023-11-18,dev,233188.5468160002
US,historical_drift,3,2023-11-18,wis,344.27068260869567
US,historical_drift,3,2023-11-25,dev,427358.9905289998
US,historical_drift,3,2023-11-25,wis,429.9699373913044
US,historical_drift,3,2023-12-02,dev,22390.33395600001
US,historical_drift,3,2023-12-02,wis,340.1755408695652
US,historical_drift,3,2023-12-09,dev,106194.515625
US,historical_drift,3,2023-12-09,wis,445.7302295652174
US,historical_drift,3,2023-12-16,dev,775591.9783289995
US,historical_drift,3,2023-12-16,wis,1137.1985834782608
US,historical_drift,3,2023-12-23,dev,13109265.731583998
US,historical_drift,3,2023-12-23,wis,2152.162501304348
US,historical_drift,3,2023-12-30,dev,35652984.30414401
US,historical_drift,3,2023-12-30,wis,3367.179300869566
US,historical_drift,3,2024-01-06,dev,39961716.254784
US,historical_drift,3,2024-01-06,wis,3684.3479039130434
US,historical_drift,3,2024-01-13,dev,5003417.396223993
US,historical_drift,3,2024-01-13,wis,2020.995267391304
US,historical_drift,3,2024-01-20,dev,9458804.817289
US,historical_drift,3,2024-01-20,wis,4046.981299565217
US,historical_drift,3,2024-01-27,dev,113257442.493504
US,historical_drift,3,2024-01-27,wis,6930.205484347825
US,historical_drift,3,2024-02-03,dev,42735245.328400016
US,historical_drift,3,2024-02-03,wis,3678.470354347826
US,historical_drift,3,2024-02-10,dev,74562655.09108901
US,historical_drift,3,2024-02-10,wis,5306.24352173913
US,historical_drift,3,2024-02-17,dev,32354595.372100007
US,historical_drift,3,2024-02-17,wis,3265.5081839130435
US,historical_drift,3,2024-02-24,dev,5851522.296064001
US,historical_drift,3,2024-02-24,wis,1535.086127826087
US,historical_drift,3,2024-03-02,dev,130773.36387600016
US,historical_drift,3,2024-03-02,wis,941.1194052173912
