AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,PR,VI,US
0.006484524,0,0.003863265,0.005691667,0.004124908,0.00331746,0.004038095,0.005014286,0.004290476,0.009782313,0.007390476,0,0.003152381,0.00354881,0.003792857,0.002946032,0.00352381,0.004354762,0.008976191,0.001992064,0.002753846,0.002946259,0.003452857,0.002609524,0.004321429,0.003587831,0.002699048,0.006251191,0.002005952,0.003257143,0.004611111,0.004058929,0.004290476,0.002992857,0.002614966,0.001983333,0.007033333,0.004200952,0.003179365,0.00442381,0.006876191,0.002568571,0.004982143,0.005952882,0.003339683,0.0023,0.004457143,0.003573469,0.003554762,0.002633333,0.003188095,0,0,0.004142548
0.006621429,0,0.003765986,0.006229762,0.004058242,0.003126191,0.004504762,0.005571429,0.004914286,0.009572789,0.007775,0,0.002825595,0.004205952,0.004392857,0.002922222,0.003772619,0.004814286,0.008912698,0.002203175,0.00267033,0.002808163,0.003228095,0.002838095,0.004857143,0.003575132,0.003065714,0.006809524,0.001898214,0.003805952,0.005401587,0.003785714,0.004914286,0.00327381,0.002842857,0.001912698,0.00707381,0.004834286,0.003696825,0.004857143,0.007402381,0.002400952,0.005371429,0.00653208,0.003130159,0.002583333,0.005012381,0.003626531,0.004133333,0.002807937,0.002889683,0,0,0.004372017
0.006761905,0,0.003642857,0.006185714,0.00418022,0.003050397,0.00482381,0.0059,0.005257143,0.00915102,0.008051191,0,0.003034524,0.003928571,0.004461905,0.002414286,0.003081548,0.005116667,0.008734921,0.002573016,0.002801465,0.002585714,0.003357619,0.003280952,0.005142857,0.003459788,0.003379048,0.007290476,0.001697024,0.004054762,0.00438254,0.003906548,0.005257143,0.003661905,0.002712925,0.001555556,0.007252381,0.00428381,0.00395873,0.00522381,0.007792857,0.002190476,0.005660714,0.005917544,0.003198413,0.002959524,0.005478095,0.003734014,0.004495238,0.002447619,0.002971032,0,0,0.004417148
0.005857143,0,0.003528571,0.005321429,0.003964103,0.003149206,0.004409524,0.005380952,0.00482381,0.009113606,0.007194048,0,0.003141667,0.003228571,0.003559524,0.002424603,0.003129762,0.004325,0.007915873,0.002373016,0.002710256,0.002612925,0.003257619,0.002940476,0.004685714,0.00352381,0.002998095,0.006514286,0.001535119,0.00335,0.004206349,0.003894048,0.00482381,0.003257143,0.002339456,0.001534921,0.006302381,0.003804762,0.003544445,0.004885714,0.007035714,0.002160952,0.004876191,0.005744361,0.003105556,0.002628572,0.004898095,0.003745578,0.004054762,0.002292064,0.003090079,0,0,0.004065177
0.005896429,0,0.003521769,0.004995238,0.003940659,0.003044841,0.004247619,0.005209524,0.004419048,0.009586395,0.007009524,0,0.002913691,0.00297381,0.003447619,0.002238095,0.003141667,0.004088095,0.008339683,0.002228571,0.002831502,0.002491837,0.003208095,0.002747619,0.004509524,0.003404762,0.002809524,0.006086905,0.001688691,0.003253571,0.004150794,0.003607143,0.004419048,0.003088095,0.002231973,0.001484127,0.006447619,0.00348381,0.003284127,0.004685714,0.006702381,0.002095238,0.004566667,0.00586817,0.003126984,0.002411905,0.004421905,0.003419048,0.003638095,0.002126191,0.003083333,0,0,0.003930952
0.005636905,0,0.003530612,0.005058333,0.00388315,0.003135318,0.004152381,0.00512381,0.00432381,0.009771429,0.006976191,0,0.002667262,0.00307381,0.003190476,0.002655556,0.00376131,0.003764286,0.008095238,0.002203175,0.002604029,0.002902041,0.003119524,0.002776191,0.004419048,0.003579365,0.002797143,0.006072619,0.001922619,0.002908333,0.004892064,0.003553571,0.00432381,0.003078571,0.00217483,0.001790476,0.005961905,0.00388381,0.003126984,0.004561905,0.006602381,0.002428571,0.004327381,0.006258396,0.002972222,0.002504762,0.004266667,0.003397959,0.0034,0.002253175,0.002891667,0,0,0.003933777
0.006119048,0,0.003672789,0.005744048,0.00373663,0.002977778,0.004014286,0.004790476,0.00392381,0.009915646,0.007182143,0,0.002623214,0.003244048,0.003364286,0.002619048,0.003605357,0.003933333,0.008411111,0.002280952,0.002522344,0.002577551,0.003091905,0.00277381,0.004152381,0.003422751,0.002624762,0.00577381,0.001746429,0.002889286,0.004863492,0.003471429,0.00392381,0.003028571,0.002428571,0.001711111,0.006638095,0.004157143,0.002885714,0.004480952,0.006511905,0.002096191,0.004765476,0.006317043,0.002955556,0.002342857,0.003950476,0.003412245,0.003111905,0.002415873,0.002778175,0,0,0.003917951
0.006533333,0,0.003435374,0.005528572,0.003883883,0.002960318,0.004319048,0.005209524,0.004476191,0.009509524,0.007415476,0,0.002805952,0.002784524,0.003092857,0.002188095,0.003043452,0.003985714,0.008849206,0.002371429,0.002671062,0.002465986,0.003196191,0.002935714,0.004507143,0.003428042,0.002868571,0.006351191,0.001640476,0.002851191,0.004111111,0.003571429,0.004476191,0.003242857,0.002430612,0.001515079,0.007083333,0.003532381,0.003076191,0.004780952,0.00687381,0.002041905,0.004934524,0.006034587,0.00288254,0.00255,0.004434286,0.003468708,0.003433333,0.002170635,0.002876191,0,0,0.003976096
0.006115476,0,0.003614286,0.004969048,0.003818315,0.003248413,0.003833333,0.004647619,0.003914286,0.009164626,0.007084524,0,0.0030125,0.002492857,0.002678571,0.002233333,0.003224405,0.003466667,0.008431746,0.002326984,0.00291978,0.002676871,0.003138571,0.002697619,0.004019048,0.003430688,0.002634286,0.005828571,0.001753571,0.00254881,0.004211111,0.003644643,0.003914286,0.002957143,0.002210204,0.001415079,0.006428571,0.003334286,0.002780952,0.004266667,0.006433333,0.002256191,0.004402381,0.005710777,0.003150794,0.002378572,0.004001905,0.003642857,0.0031,0.001994444,0.003144048,0,0,0.003781695
0.005341667,0,0.003641497,0.005392857,0.003832967,0.003219841,0.003828571,0.004609524,0.003747619,0.009451021,0.00652381,0,0.002861905,0.002872619,0.002997619,0.002244444,0.00343631,0.003758333,0.008001587,0.002274603,0.002857876,0.002726531,0.003025238,0.002726191,0.003978571,0.003489947,0.002476191,0.005594048,0.001688095,0.002554762,0.004471429,0.003575595,0.003747619,0.00297381,0.002003401,0.001345238,0.006042857,0.003906667,0.002625397,0.004319048,0.006214286,0.002181905,0.004401191,0.006034587,0.002965079,0.00235,0.003876191,0.003586395,0.003009524,0.00195,0.003087698,0,0,0.003751473
